data_pt,px,py,dataset,num_points,q_min,q_max,filename
115,9.0,18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0115_1D.csv
116,9.0,13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0116_1D.csv
117,9.0,9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0117_1D.csv
118,9.0,4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0118_1D.csv
119,9.0,0.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0119_1D.csv
120,9.0,-4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0120_1D.csv
121,9.0,-9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0121_1D.csv
122,9.0,-13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0122_1D.csv
123,9.0,-18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0123_1D.csv
124,9.0,-22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0124_1D.csv
125,9.0,-27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0125_1D.csv
126,9.0,-31.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0126_1D.csv
127,13.5,27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0127_1D.csv
128,13.5,22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0128_1D.csv
129,13.5,18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0129_1D.csv
130,13.5,13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0130_1D.csv
131,13.5,9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0131_1D.csv
132,13.5,4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0132_1D.csv
133,13.5,0.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0133_1D.csv
134,13.5,-4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0134_1D.csv
135,13.5,-9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0135_1D.csv
136,13.5,-13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0136_1D.csv
137,13.5,-18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0137_1D.csv
138,13.5,-22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0138_1D.csv
139,13.5,-27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0139_1D.csv
140,18.0,27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0140_1D.csv
141,18.0,22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0141_1D.csv
142,18.0,18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0142_1D.csv
143,18.0,13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0143_1D.csv
144,18.0,9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0144_1D.csv
145,18.0,4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0145_1D.csv
146,18.0,0.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0146_1D.csv
147,18.0,-4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0147_1D.csv
148,18.0,-9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0148_1D.csv
149,18.0,-13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0149_1D.csv
150,18.0,-18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0150_1D.csv
151,18.0,-22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0151_1D.csv
152,18.0,-27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0152_1D.csv
153,22.5,22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0153_1D.csv
154,22.5,18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0154_1D.csv
155,22.5,13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0155_1D.csv
156,22.5,9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0156_1D.csv
157,22.5,4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0157_1D.csv
158,22.5,0.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0158_1D.csv
159,22.5,-4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0159_1D.csv
160,22.5,-9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0160_1D.csv
161,22.5,-13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0161_1D.csv
162,22.5,-18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0162_1D.csv
163,22.5,-22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0163_1D.csv
164,27.0,18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0164_1D.csv
165,27.0,13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0165_1D.csv
166,27.0,9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0166_1D.csv
167,27.0,4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0167_1D.csv
168,27.0,0.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0168_1D.csv
169,27.0,-4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0169_1D.csv
170,27.0,-9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0170_1D.csv
171,27.0,-13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0171_1D.csv
172,27.0,-18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0172_1D.csv
173,31.5,9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0173_1D.csv
174,31.5,4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0174_1D.csv
175,31.5,0.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0175_1D.csv
176,31.5,-4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0176_1D.csv
177,31.5,-9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0177_1D.csv
